,date,BTC Closing Value
0,"Feb 08, 2022","38,448.99"
1,"Feb 07, 2022","38,316.41"
2,"Feb 06, 2022","37,026.61"
3,"Feb 05, 2022","36,195.83"
4,"Feb 04, 2022","36,247.98"
5,"Feb 03, 2022","32,490.47"
6,"Feb 02, 2022","32,702.76"
7,"Feb 01, 2022","34,367.76"
8,"Jan 31, 2022","34,270.42"
9,"Jan 30, 2022","33,999.80"
